customer_id,snapshot_date,age,region,relationship_months,avg_monthly_inflow_6m,salary_inflow_ratio,inflow_cv_6m,avg_balance_6m,min_balance_6m,avg_monthly_spend_6m,monthly_txn_count_6m,digital_txn_ratio,cash_withdrawal_ratio,essential_spend_ratio,discretionary_spend_ratio,travel_spend_ratio,education_spend_ratio,business_merchant_ratio,investment_contribution_ratio,loan_balance,credit_card_utilisation,days_since_last_txn,monthly_app_logins_3m,products_held,overdraft_events_6m,late_payment_events_12m
C00011,2026-06-30,56,Auckland,108,22529,0.806,0.233,110683,64885,8700,47,0.696,0.088,0.505,0.25,0.121,0.074,0.138,0.32,119415,0.269,8,22,7,0,0
C00012,2026-06-30,18,Bay of Plenty,6,2557,0.631,0.252,3887,1543,1950,67,0.941,0.095,0.434,0.22,0.073,0.091,0.0,0.078,8447,0.374,2,27,3,1,0
C00013,2026-06-30,18,Bay of Plenty,2,4147,0.818,0.277,953,284,3725,77,0.942,0.051,0.363,0.315,0.057,0.09,0.048,0.066,11010,0.405,3,22,2,0,0
C00014,2026-06-30,55,Other,162,4195,0.573,0.298,4624,2228,2131,21,0.365,0.363,0.574,0.184,0.017,0.002,0.106,0.03,16248,0.0,43,7,1,0,0
C00015,2026-06-30,60,Other,148,3317,0.337,0.307,14119,5065,1382,14,0.224,0.38,0.557,0.164,0.019,0.052,0.076,0.096,47455,0.149,15,5,1,0,0
C00016,2026-06-30,38,Waikato,88,12067,0.724,0.246,2915,663,12523,107,0.933,0.072,0.419,0.569,0.123,0.014,0.157,0.063,66040,0.775,2,36,3,4,0
C00017,2026-06-30,24,Auckland,1,3602,0.78,0.245,2927,959,2942,73,0.955,0.08,0.46,0.376,0.056,0.074,0.02,0.046,4666,0.403,3,30,1,1,0
C00018,2026-06-30,43,Auckland,81,8964,0.696,0.044,13074,6142,4945,68,0.862,0.044,0.557,0.317,0.052,0.041,0.017,0.063,0,0.241,4,14,5,0,0
C00019,2026-06-30,32,Other,49,7784,0.871,0.083,24506,13060,4139,78,0.813,0.054,0.561,0.249,0.043,0.092,0.108,0.096,0,0.343,3,17,4,0,0
C00020,2026-06-30,19,Wellington,1,3169,0.766,0.257,5123,1327,2117,72,0.884,0.027,0.461,0.321,0.027,0.076,0.046,0.08,6071,0.531,6,29,1,0,0
C00021,2026-06-30,40,Waikato,108,7523,0.938,0.085,8969,6064,3581,66,0.751,0.031,0.435,0.26,0.073,0.046,0.064,0.054,0,0.321,2,20,5,0,0
C00022,2026-06-30,51,Wellington,110,3779,0.479,0.341,13951,4737,1873,29,0.339,0.35,0.485,0.201,0.0,0.037,0.159,0.0,19588,0.012,22,0,3,0,0
C00023,2026-06-30,52,Canterbury,138,20623,0.435,0.131,79699,55623,6235,37,0.774,0.116,0.462,0.33,0.14,0.038,0.094,0.302,395813,0.116,3,24,6,0,0
C00024,2026-06-30,46,Waikato,139,22024,0.561,0.181,89453,64667,4911,42,0.752,0.029,0.493,0.24,0.144,0.024,0.15,0.24,484479,0.054,7,19,6,0,0
C00025,2026-06-30,23,Waikato,51,2819,0.654,0.249,2743,1327,2226,76,1.0,0.062,0.453,0.36,0.06,0.111,0.027,0.001,4683,0.281,3,27,3,1,0
C00026,2026-06-30,34,Wellington,82,6453,1.0,0.162,28083,13733,4326,46,0.861,0.0,0.469,0.361,0.056,0.077,0.068,0.095,66004,0.194,3,7,3,0,0
C00027,2026-06-30,56,Waikato,138,19592,0.681,0.106,130512,92705,8861,51,0.639,0.064,0.499,0.35,0.116,0.053,0.104,0.297,290032,0.235,4,6,6,0,0
C00028,2026-06-30,51,Wellington,141,4945,0.386,0.266,7449,2753,2985,21,0.341,0.446,0.501,0.196,0.028,0.018,0.132,0.024,11755,0.097,19,2,3,0,0
C00029,2026-06-30,47,Wellington,146,17968,0.59,0.144,119928,57072,4654,37,0.702,0.0,0.408,0.279,0.12,0.04,0.12,0.252,168105,0.118,3,5,6,0,0
C00030,2026-06-30,45,Auckland,147,21481,0.526,0.2,72760,58047,7283,28,0.678,0.125,0.452,0.308,0.11,0.003,0.065,0.3,136406,0.049,4,22,6,1,0
C00031,2026-06-30,36,Canterbury,82,7141,0.869,0.053,10282,4640,4528,63,0.778,0.04,0.374,0.324,0.069,0.059,0.07,0.086,87020,0.353,4,27,4,0,0
C00032,2026-06-30,19,Other,18,3146,0.694,0.222,2150,470,2666,62,1.0,0.063,0.482,0.322,0.036,0.064,0.053,0.054,0,0.092,3,29,2,0,0
C00033,2026-06-30,28,Auckland,99,5967,0.543,0.286,11619,2258,5877,113,0.9,0.08,0.403,0.504,0.128,0.002,0.045,0.0,63614,0.719,1,26,4,2,0
C00034,2026-06-30,33,Auckland,43,10784,0.459,0.25,4252,379,10398,85,1.0,0.0,0.396,0.471,0.142,0.03,0.046,0.044,147996,0.667,2,35,4,7,0
C00035,2026-06-30,62,Waikato,185,17928,0.665,0.262,95034,57860,4534,59,0.74,0.02,0.497,0.302,0.159,0.017,0.117,0.363,142428,0.099,4,0,6,0,0
C00036,2026-06-30,48,Other,105,5579,0.919,0.196,10460,4883,4083,52,0.792,0.073,0.492,0.253,0.052,0.053,0.051,0.095,0,0.243,2,21,5,0,0
C00037,2026-06-30,57,Waikato,187,5970,0.451,0.346,10479,4251,2200,9,0.293,0.327,0.484,0.202,0.0,0.0,0.11,0.026,89074,0.246,31,4,1,0,0
C00038,2026-06-30,27,Auckland,64,7094,0.663,0.233,22042,5082,6445,81,0.88,0.071,0.428,0.515,0.121,0.027,0.077,0.043,56778,0.599,1,27,3,0,0
C00039,2026-06-30,41,Bay of Plenty,91,8119,0.723,0.187,25221,12452,5276,35,0.823,0.021,0.56,0.312,0.046,0.093,0.068,0.043,73816,0.447,3,11,4,0,0
C00040,2026-06-30,37,Auckland,124,5194,0.901,0.142,13327,6872,2937,52,0.884,0.036,0.558,0.311,0.036,0.081,0.025,0.081,132039,0.201,3,19,4,0,0
C00041,2026-06-30,56,Bay of Plenty,151,4318,0.497,0.367,19649,6956,1643,3,0.355,0.406,0.45,0.183,0.032,0.004,0.108,0.049,25898,0.019,25,10,1,0,0
C00042,2026-06-30,52,Bay of Plenty,200,21617,0.444,0.12,175569,114956,8566,67,0.841,0.011,0.505,0.239,0.147,0.006,0.152,0.244,0,0.158,5,9,7,0,0
C00043,2026-06-30,32,Wellington,91,8197,0.738,0.319,7862,689,7085,111,0.849,0.025,0.358,0.474,0.114,0.035,0.117,0.019,61360,0.797,1,36,4,3,0
C00044,2026-06-30,18,Bay of Plenty,3,3388,0.715,0.136,1264,361,2374,69,0.846,0.015,0.453,0.311,0.008,0.079,0.0,0.018,10344,0.267,4,30,3,0,1
C00045,2026-06-30,42,Wellington,117,4246,0.757,0.062,32088,12121,2895,61,0.691,0.059,0.523,0.3,0.024,0.051,0.032,0.079,0,0.099,3,19,4,0,0
C00046,2026-06-30,44,Canterbury,90,10222,0.864,0.134,13499,3487,5199,60,0.746,0.0,0.396,0.263,0.066,0.058,0.069,0.123,260518,0.356,3,10,5,0,0
C00047,2026-06-30,46,Auckland,144,15448,0.633,0.158,128367,81183,7056,50,0.773,0.022,0.412,0.3,0.139,0.002,0.119,0.308,159457,0.135,3,19,5,1,0
C00048,2026-06-30,46,Other,146,16435,0.578,0.085,217074,148141,4523,59,0.833,0.044,0.431,0.354,0.124,0.013,0.13,0.306,354797,0.406,5,18,7,1,0
C00049,2026-06-30,37,Auckland,100,6241,0.753,0.084,25663,13281,2970,67,0.798,0.066,0.456,0.217,0.074,0.047,0.102,0.133,72779,0.245,2,21,4,0,0
C00050,2026-06-30,52,Canterbury,104,7483,0.945,0.139,19359,8600,4278,72,0.864,0.041,0.469,0.287,0.059,0.039,0.022,0.072,252920,0.248,5,19,4,0,0
C00051,2026-06-30,61,Wellington,107,3890,0.387,0.232,6412,3349,1812,26,0.306,0.381,0.476,0.16,0.029,0.007,0.064,0.053,19627,0.153,23,7,3,0,0
C00052,2026-06-30,57,Wellington,123,3939,0.488,0.29,9219,4030,1728,12,0.309,0.367,0.509,0.227,0.067,0.023,0.118,0.095,0,0.204,58,7,1,1,0
C00053,2026-06-30,35,Wellington,71,12350,0.775,0.195,5623,611,12147,111,0.788,0.016,0.399,0.547,0.117,0.011,0.067,0.0,61875,0.516,2,35,5,3,0
C00054,2026-06-30,22,Waikato,31,3386,0.825,0.278,4558,1366,2361,67,0.931,0.158,0.412,0.333,0.033,0.074,0.029,0.066,10773,0.225,5,29,4,1,0
C00055,2026-06-30,56,Auckland,138,4021,0.418,0.355,6212,2463,2586,29,0.286,0.46,0.537,0.114,0.019,0.013,0.078,0.041,38455,0.328,24,0,1,0,0
C00056,2026-06-30,41,Waikato,76,5995,0.922,0.087,15393,6840,3412,64,0.858,0.074,0.584,0.144,0.073,0.031,0.005,0.027,0,0.41,4,22,3,0,0
C00057,2026-06-30,43,Other,76,6623,0.635,0.195,17623,1986,5412,86,0.801,0.048,0.344,0.476,0.075,0.013,0.092,0.055,0,0.601,1,23,3,1,0
C00058,2026-06-30,57,Auckland,132,17540,0.67,0.188,82244,50249,3580,52,0.724,0.1,0.514,0.245,0.137,0.06,0.12,0.267,106598,0.323,4,5,5,0,0
C00059,2026-06-30,39,Other,82,10465,0.688,0.225,16397,1139,9998,92,0.973,0.05,0.424,0.493,0.131,0.067,0.066,0.02,27749,0.663,1,28,3,3,0
C00060,2026-06-30,36,Other,37,2922,0.743,0.175,1818,173,2301,73,0.889,0.007,0.43,0.343,0.051,0.077,0.043,0.042,4895,0.226,3,27,2,0,0
C00061,2026-06-30,30,Bay of Plenty,76,2250,0.716,0.229,2272,509,2165,80,1.0,0.019,0.411,0.347,0.049,0.095,0.015,0.001,7953,0.398,5,29,3,0,0
C00062,2026-06-30,27,Canterbury,30,3559,0.745,0.229,2586,1184,2961,91,0.934,0.09,0.415,0.415,0.026,0.079,0.061,0.083,3960,0.339,3,22,2,0,0
C00063,2026-06-30,49,Bay of Plenty,138,16552,0.503,0.211,179415,129368,4108,42,0.695,0.0,0.463,0.328,0.093,0.03,0.133,0.268,0,0.268,4,16,5,0,0
C00064,2026-06-30,57,Auckland,180,11527,0.65,0.213,83901,40342,6061,42,0.822,0.063,0.54,0.273,0.139,0.004,0.115,0.238,192260,0.332,5,24,6,0,0
C00065,2026-06-30,32,Other,88,9123,0.656,0.175,10977,2495,7948,107,0.931,0.0,0.361,0.49,0.102,0.035,0.071,0.0,92038,0.552,2,32,2,4,1
C00066,2026-06-30,60,Bay of Plenty,126,3711,0.356,0.263,7243,2455,1749,32,0.166,0.351,0.537,0.171,0.032,0.018,0.055,0.105,35004,0.0,44,14,1,1,0
C00067,2026-06-30,38,Waikato,10,3386,0.578,0.218,2592,1153,2309,86,0.923,0.0,0.447,0.399,0.062,0.061,0.037,0.04,9403,0.339,3,23,2,0,1
C00068,2026-06-30,34,Canterbury,27,7960,0.901,0.202,16522,4302,6216,63,0.967,0.057,0.378,0.472,0.093,0.029,0.078,0.048,0,0.581,4,27,4,1,0
C00069,2026-06-30,44,Other,132,3514,0.683,0.157,13926,6529,2010,43,0.728,0.018,0.528,0.275,0.034,0.061,0.081,0.043,152497,0.142,3,21,2,0,0
C00070,2026-06-30,23,Auckland,25,3055,0.658,0.181,8087,1530,2295,81,0.966,0.0,0.44,0.329,0.018,0.106,0.032,0.036,5379,0.312,3,26,2,0,0
C00071,2026-06-30,47,Auckland,88,6216,0.864,0.252,8289,2002,5026,89,0.882,0.03,0.381,0.39,0.074,0.032,0.028,0.088,33071,0.487,2,17,4,0,1
C00072,2026-06-30,27,Wellington,17,3157,0.624,0.216,1927,289,2341,80,0.971,0.105,0.51,0.305,0.058,0.109,0.002,0.069,7286,0.346,6,19,4,0,0
C00073,2026-06-30,29,Canterbury,42,6965,0.752,0.163,12858,3210,7090,83,0.739,0.001,0.369,0.468,0.122,0.009,0.134,0.0,110489,0.765,2,31,4,2,0
C00074,2026-06-30,33,Canterbury,71,4828,0.909,0.155,14659,8307,3089,62,0.844,0.155,0.5,0.328,0.049,0.036,0.049,0.072,93427,0.129,2,7,4,0,0
C00075,2026-06-30,39,Auckland,81,4646,0.786,0.15,10573,3348,3260,53,0.837,0.085,0.568,0.217,0.043,0.055,0.054,0.057,0,0.315,2,12,5,0,0
C00076,2026-06-30,35,Waikato,89,9803,0.876,0.116,16298,5946,5286,61,0.818,0.09,0.491,0.254,0.049,0.071,0.066,0.067,243240,0.346,4,17,4,0,0
C00077,2026-06-30,51,Auckland,135,4644,0.428,0.252,12307,6958,2413,10,0.281,0.441,0.424,0.277,0.023,0.052,0.049,0.041,41602,0.09,26,0,2,0,0
C00078,2026-06-30,34,Waikato,87,7250,0.598,0.208,10309,588,7887,95,0.929,0.087,0.414,0.489,0.117,0.056,0.136,0.04,56105,0.588,1,27,4,2,0
C00079,2026-06-30,46,Canterbury,164,6438,0.996,0.048,15762,7785,3842,56,0.89,0.161,0.496,0.299,0.02,0.04,0.071,0.103,123790,0.318,3,22,3,0,0
C00080,2026-06-30,47,Wellington,159,3980,0.535,0.329,21592,8721,1831,12,0.234,0.466,0.503,0.16,0.0,0.047,0.109,0.003,0,0.05,28,1,2,0,0
C00081,2026-06-30,37,Bay of Plenty,46,13047,0.84,0.182,9815,2042,9886,93,0.935,0.1,0.38,0.405,0.076,0.045,0.051,0.113,52008,0.707,2,22,3,1,0
C00082,2026-06-30,43,Canterbury,89,8605,0.722,0.207,14992,2205,7036,101,0.944,0.094,0.402,0.389,0.112,0.051,0.039,0.053,39828,0.702,1,29,3,1,0
C00083,2026-06-30,32,Canterbury,100,6298,0.545,0.23,11156,4308,6747,96,0.87,0.0,0.448,0.486,0.121,0.036,0.081,0.032,165631,0.87,1,28,4,2,0
C00084,2026-06-30,23,Canterbury,31,2536,0.907,0.195,2937,683,2080,90,0.939,0.034,0.346,0.362,0.058,0.136,0.026,0.02,0,0.248,4,22,2,0,0
C00085,2026-06-30,29,Wellington,47,2663,0.744,0.305,3839,814,1982,73,0.877,0.034,0.442,0.31,0.057,0.097,0.054,0.085,14706,0.194,2,32,2,0,0
C00086,2026-06-30,53,Canterbury,183,14671,0.573,0.194,177343,140853,5194,67,0.688,0.013,0.37,0.347,0.137,0.029,0.098,0.291,222838,0.23,4,16,6,0,0
C00087,2026-06-30,18,Wellington,1,5985,0.921,0.219,2840,1175,4299,82,0.829,0.05,0.398,0.397,0.05,0.073,0.024,0.0,15421,0.35,3,36,1,0,0
C00088,2026-06-30,29,Bay of Plenty,79,6938,0.613,0.199,5733,812,6297,82,0.917,0.0,0.341,0.416,0.099,0.02,0.094,0.0,261390,0.535,2,30,4,0,0
C00089,2026-06-30,53,Bay of Plenty,161,10049,0.636,0.125,205438,126492,6062,39,0.741,0.071,0.518,0.263,0.115,0.014,0.054,0.279,231593,0.446,7,18,6,0,0
C00090,2026-06-30,22,Auckland,1,2087,0.872,0.201,4933,1651,1560,67,0.872,0.0,0.493,0.402,0.015,0.065,0.055,0.004,0,0.198,5,27,2,1,0
C00091,2026-06-30,50,Auckland,102,4216,0.4,0.353,24154,9842,2116,32,0.205,0.339,0.464,0.184,0.013,0.03,0.122,0.013,28635,0.32,38,15,2,0,1
C00092,2026-06-30,45,Wellington,77,10238,0.771,0.203,12160,4051,8422,99,0.827,0.113,0.413,0.47,0.106,0.031,0.06,0.044,18228,0.52,3,33,2,0,0
C00093,2026-06-30,43,Wellington,100,7032,0.581,0.119,13230,2275,7018,96,0.859,0.165,0.495,0.489,0.106,0.029,0.076,0.0,96753,0.671,3,31,5,1,0
C00094,2026-06-30,25,Auckland,66,3328,0.835,0.16,1483,296,2113,59,0.992,0.077,0.493,0.401,0.002,0.064,0.056,0.0,6218,0.34,4,32,2,0,0
C00095,2026-06-30,42,Auckland,144,18123,0.518,0.168,115681,92016,5163,54,0.699,0.0,0.489,0.279,0.129,0.023,0.071,0.303,70199,0.366,6,10,7,0,0
C00096,2026-06-30,34,Bay of Plenty,20,4638,0.712,0.219,3373,772,4357,79,0.855,0.09,0.405,0.313,0.075,0.063,0.004,0.03,0,0.338,2,24,2,0,0
C00097,2026-06-30,31,Bay of Plenty,111,4985,0.928,0.047,28775,15496,2567,58,0.81,0.171,0.527,0.335,0.057,0.065,0.095,0.029,378477,0.367,5,25,3,0,0
C00098,2026-06-30,51,Canterbury,187,18477,0.624,0.201,109690,72683,6114,50,0.687,0.124,0.487,0.339,0.125,0.008,0.163,0.256,0,0.109,3,13,8,0,0
C00099,2026-06-30,40,Other,109,5740,0.796,0.062,18585,10813,3286,65,0.744,0.077,0.548,0.261,0.039,0.048,0.056,0.068,153164,0.263,5,19,4,0,0
C00100,2026-06-30,58,Other,121,3700,0.528,0.309,19877,9823,1569,29,0.261,0.376,0.544,0.196,0.0,0.051,0.115,0.081,0,0.0,22,0,2,0,0
C00101,2026-06-30,59,Canterbury,122,3454,0.458,0.256,10582,5043,1640,16,0.325,0.417,0.519,0.162,0.034,0.031,0.13,0.048,31608,0.065,25,14,1,0,0
C00102,2026-06-30,56,Waikato,137,3724,0.449,0.268,22961,11245,1569,9,0.244,0.42,0.489,0.241,0.003,0.01,0.098,0.069,18807,0.277,29,0,2,0,0
C00103,2026-06-30,37,Auckland,116,4981,0.859,0.133,13539,6443,3348,58,0.666,0.0,0.448,0.34,0.025,0.06,0.088,0.029,118014,0.193,3,12,3,0,0
C00104,2026-06-30,18,Canterbury,6,4852,0.644,0.179,6046,2066,4350,59,0.992,0.068,0.525,0.355,0.017,0.078,0.102,0.0,2607,0.433,2,24,1,1,0
C00105,2026-06-30,50,Bay of Plenty,152,13289,0.533,0.048,71171,45271,5270,38,0.865,0.103,0.507,0.298,0.155,0.04,0.125,0.235,198810,0.041,7,9,7,0,0
C00106,2026-06-30,28,Waikato,71,2906,0.679,0.315,2994,840,2323,55,0.909,0.132,0.389,0.421,0.059,0.073,0.066,0.031,7080,0.434,4,35,2,0,0
C00107,2026-06-30,50,Wellington,86,4034,0.797,0.101,12275,4727,2396,64,0.854,0.063,0.491,0.341,0.074,0.045,0.038,0.118,186760,0.171,3,18,4,2,0
C00108,2026-06-30,53,Bay of Plenty,133,15022,0.505,0.121,156628,99910,3529,65,0.811,0.0,0.41,0.3,0.104,0.024,0.12,0.306,107798,0.223,6,19,6,0,1
C00109,2026-06-30,23,Waikato,17,2385,0.768,0.217,3125,504,1934,62,0.951,0.072,0.443,0.351,0.049,0.082,0.033,0.032,0,0.377,3,23,3,0,0
C00110,2026-06-30,57,Auckland,118,4362,0.338,0.396,5576,1873,2679,17,0.323,0.355,0.508,0.209,0.028,0.012,0.074,0.077,33557,0.109,15,6,2,0,0
C00111,2026-06-30,25,Waikato,20,2913,0.643,0.221,2533,883,2182,80,0.83,0.044,0.338,0.354,0.049,0.053,0.0,0.043,4678,0.308,4,22,1,0,0
C00112,2026-06-30,39,Auckland,68,5208,0.734,0.239,8635,1611,4016,116,0.871,0.0,0.348,0.553,0.152,0.028,0.056,0.0,59132,0.818,2,29,5,2,1
C00113,2026-06-30,37,Waikato,83,8259,0.718,0.022,15257,8860,3900,65,0.808,0.096,0.548,0.225,0.042,0.044,0.041,0.1,90053,0.098,6,25,4,0,0
C00114,2026-06-30,40,Other,73,7873,0.798,0.138,11343,3659,4878,70,0.847,0.103,0.466,0.292,0.02,0.07,0.031,0.062,100445,0.284,2,20,4,0,0
C00115,2026-06-30,28,Other,43,3015,0.748,0.286,2500,620,2447,43,0.928,0.011,0.459,0.38,0.033,0.08,0.054,0.047,10183,0.491,4,30,2,1,0
C00116,2026-06-30,56,Bay of Plenty,111,3032,0.497,0.345,9154,3839,1830,17,0.415,0.415,0.506,0.138,0.024,0.011,0.076,0.124,37790,0.0,37,3,3,1,0
C00117,2026-06-30,57,Wellington,171,4234,0.29,0.269,10535,3922,2371,18,0.267,0.318,0.448,0.237,0.038,0.048,0.043,0.05,55918,0.216,18,0,4,0,0
C00118,2026-06-30,30,Waikato,97,8957,0.695,0.266,10339,3037,8832,101,1.0,0.062,0.354,0.558,0.123,0.012,0.05,0.053,47168,0.64,1,28,3,3,1
C00119,2026-06-30,58,Auckland,148,3848,0.417,0.388,11590,4370,2335,25,0.272,0.448,0.457,0.179,0.033,0.0,0.145,0.075,52062,0.195,30,4,2,0,0
C00120,2026-06-30,60,Bay of Plenty,169,22198,0.621,0.196,105800,73054,4791,51,0.753,0.133,0.43,0.258,0.141,0.039,0.112,0.279,0,0.227,5,13,5,0,0
C00121,2026-06-30,30,Other,71,9657,0.748,0.22,10904,656,8702,97,0.795,0.019,0.425,0.561,0.143,0.025,0.047,0.0,38430,0.588,2,21,4,6,0
C00122,2026-06-30,55,Wellington,121,5591,0.425,0.27,10648,6108,2519,16,0.351,0.422,0.535,0.146,0.032,0.026,0.079,0.056,44678,0.237,21,0,1,1,0
C00123,2026-06-30,30,Waikato,43,3458,0.634,0.277,4975,1416,2849,71,0.842,0.0,0.436,0.461,0.041,0.065,0.086,0.058,3386,0.336,6,20,1,0,0
C00124,2026-06-30,45,Wellington,52,4129,0.401,0.322,14633,7589,1773,43,0.283,0.273,0.49,0.223,0.045,0.038,0.085,0.065,22330,0.068,15,0,1,0,0
C00125,2026-06-30,57,Wellington,144,4484,0.373,0.264,14572,6029,2528,40,0.209,0.341,0.48,0.189,0.016,0.015,0.082,0.062,47740,0.123,22,19,3,1,0
C00126,2026-06-30,20,Bay of Plenty,1,4235,0.745,0.279,4082,1278,3318,89,0.8,0.063,0.445,0.422,0.01,0.123,0.081,0.01,0,0.225,3,23,2,0,0
C00127,2026-06-30,43,Other,67,5413,0.88,0.045,13442,8983,3142,63,1.0,0.114,0.507,0.18,0.053,0.088,0.034,0.088,132210,0.14,2,14,5,0,0
C00128,2026-06-30,20,Canterbury,30,5604,0.676,0.218,2433,628,4345,73,0.978,0.055,0.424,0.361,0.0,0.113,0.037,0.0,0,0.227,4,26,2,0,0
C00129,2026-06-30,37,Bay of Plenty,32,13886,0.642,0.242,8810,1929,14846,108,0.877,0.046,0.358,0.511,0.086,0.011,0.053,0.014,120118,0.594,2,24,5,5,0
C00130,2026-06-30,53,Canterbury,152,3573,0.39,0.338,9959,4340,1788,18,0.165,0.427,0.449,0.235,0.006,0.038,0.107,0.07,18803,0.0,15,10,2,1,0
C00131,2026-06-30,45,Auckland,153,18319,0.662,0.179,101012,76158,8375,56,0.763,0.135,0.464,0.233,0.146,0.024,0.112,0.301,381379,0.233,4,12,5,0,0
C00132,2026-06-30,40,Auckland,99,6470,0.897,0.167,23660,13737,3330,82,0.74,0.029,0.49,0.3,0.075,0.049,0.059,0.045,62702,0.239,7,17,4,0,0
C00133,2026-06-30,45,Wellington,87,6787,0.729,0.199,9509,1589,4739,92,0.7,0.042,0.437,0.374,0.141,0.017,0.07,0.085,158588,0.544,2,25,5,0,0
C00134,2026-06-30,36,Bay of Plenty,107,5473,0.883,0.087,38213,16748,2374,53,0.883,0.02,0.508,0.208,0.013,0.049,0.1,0.073,96550,0.219,5,22,4,0,0
C00135,2026-06-30,49,Waikato,121,3697,0.255,0.207,14742,4326,2177,44,0.408,0.396,0.542,0.206,0.067,0.003,0.104,0.032,18907,0.086,20,0,1,0,0
C00136,2026-06-30,33,Canterbury,55,6812,0.378,0.2,9057,842,5005,84,0.72,0.097,0.431,0.446,0.096,0.035,0.065,0.0,140997,0.463,2,25,5,0,0
C00137,2026-06-30,21,Waikato,1,4230,0.73,0.281,7784,2802,3201,66,1.0,0.049,0.473,0.386,0.049,0.101,0.017,0.088,5732,0.375,6,17,1,2,0
C00138,2026-06-30,44,Wellington,91,10986,0.529,0.171,9341,2412,8941,92,0.907,0.114,0.426,0.489,0.128,0.062,0.088,0.021,154549,0.709,2,19,5,0,0
C00139,2026-06-30,39,Waikato,127,16230,0.683,0.207,88410,50685,6582,44,0.717,0.082,0.451,0.313,0.138,0.01,0.167,0.234,126515,0.172,5,21,6,0,0
C00140,2026-06-30,53,Waikato,138,3563,0.486,0.37,6906,3012,2072,22,0.315,0.362,0.542,0.134,0.007,0.053,0.06,0.11,0,0.232,55,7,1,0,0
C00141,2026-06-30,66,Canterbury,116,6195,0.399,0.239,15221,6604,3575,24,0.264,0.406,0.593,0.101,0.033,0.02,0.07,0.049,13898,0.0,19,1,2,0,0
C00142,2026-06-30,54,Canterbury,168,11836,0.698,0.284,64385,29947,4123,67,0.76,0.105,0.438,0.334,0.128,0.019,0.11,0.224,295194,0.128,4,26,8,0,0
C00143,2026-06-30,63,Other,140,3211,0.343,0.34,18496,7810,2335,23,0.328,0.363,0.461,0.149,0.0,0.0,0.118,0.058,55012,0.175,25,0,2,0,0
C00144,2026-06-30,49,Bay of Plenty,148,15037,0.628,0.156,126659,79661,3623,50,0.728,0.109,0.54,0.305,0.096,0.055,0.119,0.286,398183,0.181,5,20,5,0,1
C00145,2026-06-30,56,Other,133,4883,0.452,0.191,15223,7920,3110,45,0.271,0.453,0.554,0.162,0.027,0.026,0.09,0.083,20143,0.109,24,0,1,0,0
C00146,2026-06-30,47,Bay of Plenty,117,5559,0.87,0.118,16830,8670,2696,89,0.816,0.094,0.587,0.238,0.012,0.039,0.047,0.11,38796,0.404,2,20,4,1,0
C00147,2026-06-30,68,Wellington,149,16861,0.459,0.209,51856,34261,4590,33,0.72,0.06,0.397,0.264,0.146,0.053,0.151,0.286,125395,0.0,4,12,7,0,0
C00148,2026-06-30,34,Other,97,6821,0.802,0.19,16856,7309,5388,46,0.753,0.016,0.513,0.254,0.018,0.107,0.017,0.091,253641,0.227,4,17,4,1,0
