customer_id,segment_id,segment_name,assignment_confidence,distance_to_center,snapshot_date,age,region,relationship_months,avg_monthly_inflow_6m,salary_inflow_ratio,inflow_cv_6m,avg_balance_6m,min_balance_6m,avg_monthly_spend_6m,monthly_txn_count_6m,digital_txn_ratio,cash_withdrawal_ratio,essential_spend_ratio,discretionary_spend_ratio,travel_spend_ratio,education_spend_ratio,business_merchant_ratio,investment_contribution_ratio,loan_balance,credit_card_utilisation,days_since_last_txn,monthly_app_logins_3m,products_held,overdraft_events_6m,late_payment_events_12m
C00011,1,Affluent Investors,0.4873770720527609,2.2682064915962408,2026-06-30,56,Auckland,108,22529,0.806,0.233,110683,64885,8700,47,0.696,0.088,0.505,0.25,0.121,0.074,0.138,0.32,119415,0.269,8,22,7,0,0
C00012,2,Emerging Digital Everyday,0.47037391701085673,2.4028051055927824,2026-06-30,18,Bay of Plenty,6,2557,0.631,0.252,3887,1543,1950,67,0.941,0.095,0.434,0.22,0.073,0.091,0.0,0.078,8447,0.374,2,27,3,1,0
C00013,2,Emerging Digital Everyday,0.5523672580998545,1.8908968185796569,2026-06-30,18,Bay of Plenty,2,4147,0.818,0.277,953,284,3725,77,0.942,0.051,0.363,0.315,0.057,0.09,0.048,0.066,11010,0.405,3,22,2,0,0
C00014,5,Low Digital Engagement and Cash-Oriented,0.5933845439944456,2.0470337920346484,2026-06-30,55,Other,162,4195,0.573,0.298,4624,2228,2131,21,0.365,0.363,0.574,0.184,0.017,0.002,0.106,0.03,16248,0.0,43,7,1,0,0
C00015,5,Low Digital Engagement and Cash-Oriented,0.625899028966179,1.8377997501336045,2026-06-30,60,Other,148,3317,0.337,0.307,14119,5065,1382,14,0.224,0.38,0.557,0.164,0.019,0.052,0.076,0.096,47455,0.149,15,5,1,0,0
C00016,4,High Spend and Frequent Overdraft,0.5308494153444484,2.021432391923272,2026-06-30,38,Waikato,88,12067,0.724,0.246,2915,663,12523,107,0.933,0.072,0.419,0.569,0.123,0.014,0.157,0.063,66040,0.775,2,36,3,4,0
C00017,2,Emerging Digital Everyday,0.6293635319573782,1.475165131893401,2026-06-30,24,Auckland,1,3602,0.78,0.245,2927,959,2942,73,0.955,0.08,0.46,0.376,0.056,0.074,0.02,0.046,4666,0.403,3,30,1,1,0
C00018,6,Stable Salary Builders,0.5155080377569488,1.9458761347289635,2026-06-30,43,Auckland,81,8964,0.696,0.044,13074,6142,4945,68,0.862,0.044,0.557,0.317,0.052,0.041,0.017,0.063,0,0.241,4,14,5,0,0
C00019,6,Stable Salary Builders,0.6605942916211127,1.2176083971218716,2026-06-30,32,Other,49,7784,0.871,0.083,24506,13060,4139,78,0.813,0.054,0.561,0.249,0.043,0.092,0.108,0.096,0,0.343,3,17,4,0,0
C00020,2,Emerging Digital Everyday,0.571830255250139,1.7805761792211185,2026-06-30,19,Wellington,1,3169,0.766,0.257,5123,1327,2117,72,0.884,0.027,0.461,0.321,0.027,0.076,0.046,0.08,6071,0.531,6,29,1,0,0
C00021,6,Stable Salary Builders,0.6103466143126345,1.4499405193276844,2026-06-30,40,Waikato,108,7523,0.938,0.085,8969,6064,3581,66,0.751,0.031,0.435,0.26,0.073,0.046,0.064,0.054,0,0.321,2,20,5,0,0
C00022,5,Low Digital Engagement and Cash-Oriented,0.5850977450058188,2.102194281778412,2026-06-30,51,Wellington,110,3779,0.479,0.341,13951,4737,1873,29,0.339,0.35,0.485,0.201,0.0,0.037,0.159,0.0,19588,0.012,22,0,3,0,0
C00023,1,Affluent Investors,0.5845559046051878,1.6944169141325631,2026-06-30,52,Canterbury,138,20623,0.435,0.131,79699,55623,6235,37,0.774,0.116,0.462,0.33,0.14,0.038,0.094,0.302,395813,0.116,3,24,6,0,0
C00024,1,Affluent Investors,0.6597822588034616,1.31237054409047,2026-06-30,46,Waikato,139,22024,0.561,0.181,89453,64667,4911,42,0.752,0.029,0.493,0.24,0.144,0.024,0.15,0.24,484479,0.054,7,19,6,0,0
C00025,2,Emerging Digital Everyday,0.5994385014315381,1.6303626719951911,2026-06-30,23,Waikato,51,2819,0.654,0.249,2743,1327,2226,76,1.0,0.062,0.453,0.36,0.06,0.111,0.027,0.001,4683,0.281,3,27,3,1,0
C00026,6,Stable Salary Builders,0.4780733038581208,2.16727181359291,2026-06-30,34,Wellington,82,6453,1.0,0.162,28083,13733,4326,46,0.861,0.0,0.469,0.361,0.056,0.077,0.068,0.095,66004,0.194,3,7,3,0,0
C00027,1,Affluent Investors,0.5363487793661522,1.9660390028299808,2026-06-30,56,Waikato,138,19592,0.681,0.106,130512,92705,8861,51,0.639,0.064,0.499,0.35,0.116,0.053,0.104,0.297,290032,0.235,4,6,6,0,0
C00028,5,Low Digital Engagement and Cash-Oriented,0.6927514630264283,1.4397684449396146,2026-06-30,51,Wellington,141,4945,0.386,0.266,7449,2753,2985,21,0.341,0.446,0.501,0.196,0.028,0.018,0.132,0.024,11755,0.097,19,2,3,0,0
C00029,1,Affluent Investors,0.6009287074032145,1.6072384358986178,2026-06-30,47,Wellington,146,17968,0.59,0.144,119928,57072,4654,37,0.702,0.0,0.408,0.279,0.12,0.04,0.12,0.252,168105,0.118,3,5,6,0,0
C00030,1,Affluent Investors,0.4726698043900332,2.364906852035053,2026-06-30,45,Auckland,147,21481,0.526,0.2,72760,58047,7283,28,0.678,0.125,0.452,0.308,0.11,0.003,0.065,0.3,136406,0.049,4,22,6,1,0
C00031,6,Stable Salary Builders,0.5962636302040958,1.5184955920982117,2026-06-30,36,Canterbury,82,7141,0.869,0.053,10282,4640,4528,63,0.778,0.04,0.374,0.324,0.069,0.059,0.07,0.086,87020,0.353,4,27,4,0,0
C00032,2,Emerging Digital Everyday,0.6086501653771681,1.581778593742977,2026-06-30,19,Other,18,3146,0.694,0.222,2150,470,2666,62,1.0,0.063,0.482,0.322,0.036,0.064,0.053,0.054,0,0.092,3,29,2,0,0
C00033,4,High Spend and Frequent Overdraft,0.6229570168841397,1.510711996417706,2026-06-30,28,Auckland,99,5967,0.543,0.286,11619,2258,5877,113,0.9,0.08,0.403,0.504,0.128,0.002,0.045,0.0,63614,0.719,1,26,4,2,0
C00034,4,High Spend and Frequent Overdraft,0.44929288072825646,2.5538722317483336,2026-06-30,33,Auckland,43,10784,0.459,0.25,4252,379,10398,85,1.0,0.0,0.396,0.471,0.142,0.03,0.046,0.044,147996,0.667,2,35,4,7,0
C00035,1,Affluent Investors,0.31106357157224374,3.6853386812025493,2026-06-30,62,Waikato,185,17928,0.665,0.262,95034,57860,4534,59,0.74,0.02,0.497,0.302,0.159,0.017,0.117,0.363,142428,0.099,4,0,6,0,0
C00036,6,Stable Salary Builders,0.6036011806296203,1.482577241143698,2026-06-30,48,Other,105,5579,0.919,0.196,10460,4883,4083,52,0.792,0.073,0.492,0.253,0.052,0.053,0.051,0.095,0,0.243,2,21,5,0,0
C00037,5,Low Digital Engagement and Cash-Oriented,0.5774207090251707,2.1539975601159034,2026-06-30,57,Waikato,187,5970,0.451,0.346,10479,4251,2200,9,0.293,0.327,0.484,0.202,0.0,0.0,0.11,0.026,89074,0.246,31,4,1,0,0
C00038,3,High Spend Credit Active,0.6092287465676736,1.5649155275870938,2026-06-30,27,Auckland,64,7094,0.663,0.233,22042,5082,6445,81,0.88,0.071,0.428,0.515,0.121,0.027,0.077,0.043,56778,0.599,1,27,3,0,0
C00039,6,Stable Salary Builders,0.45302250283981993,2.3253326451617338,2026-06-30,41,Bay of Plenty,91,8119,0.723,0.187,25221,12452,5276,35,0.823,0.021,0.56,0.312,0.046,0.093,0.068,0.043,73816,0.447,3,11,4,0,0
C00040,6,Stable Salary Builders,0.7131895783290519,0.9926340863405073,2026-06-30,37,Auckland,124,5194,0.901,0.142,13327,6872,2937,52,0.884,0.036,0.558,0.311,0.036,0.081,0.025,0.081,132039,0.201,3,19,4,0,0
C00041,5,Low Digital Engagement and Cash-Oriented,0.3844065792783325,3.7498151473806636,2026-06-30,56,Bay of Plenty,151,4318,0.497,0.367,19649,6956,1643,3,0.355,0.406,0.45,0.183,0.032,0.004,0.108,0.049,25898,0.019,25,10,1,0,0
C00042,1,Affluent Investors,0.5281748905990511,2.014504926562984,2026-06-30,52,Bay of Plenty,200,21617,0.444,0.12,175569,114956,8566,67,0.841,0.011,0.505,0.239,0.147,0.006,0.152,0.244,0,0.158,5,9,7,0,0
C00043,4,High Spend and Frequent Overdraft,0.6230203964268558,1.5103872573703827,2026-06-30,32,Wellington,91,8197,0.738,0.319,7862,689,7085,111,0.849,0.025,0.358,0.474,0.114,0.035,0.117,0.019,61360,0.797,1,36,4,3,0
C00044,2,Emerging Digital Everyday,0.5189741247569631,2.089559489132257,2026-06-30,18,Bay of Plenty,3,3388,0.715,0.136,1264,361,2374,69,0.846,0.015,0.453,0.311,0.008,0.079,0.0,0.018,10344,0.267,4,30,3,0,1
C00045,6,Stable Salary Builders,0.5334389257451455,1.8454647934670132,2026-06-30,42,Wellington,117,4246,0.757,0.062,32088,12121,2895,61,0.691,0.059,0.523,0.3,0.024,0.051,0.032,0.079,0,0.099,3,19,4,0,0
C00046,6,Stable Salary Builders,0.5199145556814873,1.920880007917261,2026-06-30,44,Canterbury,90,10222,0.864,0.134,13499,3487,5199,60,0.746,0.0,0.396,0.263,0.066,0.058,0.069,0.123,260518,0.356,3,10,5,0,0
C00047,1,Affluent Investors,0.5264690122302214,2.0247142544750947,2026-06-30,46,Auckland,144,15448,0.633,0.158,128367,81183,7056,50,0.773,0.022,0.412,0.3,0.139,0.002,0.119,0.308,159457,0.135,3,19,5,1,0
C00048,1,Affluent Investors,0.43171809530804395,2.650908762232076,2026-06-30,46,Other,146,16435,0.578,0.085,217074,148141,4523,59,0.833,0.044,0.431,0.354,0.124,0.013,0.13,0.306,354797,0.406,5,18,7,1,0
C00049,6,Stable Salary Builders,0.5892786346320575,1.5531011864607038,2026-06-30,37,Auckland,100,6241,0.753,0.084,25663,13281,2970,67,0.798,0.066,0.456,0.217,0.074,0.047,0.102,0.133,72779,0.245,2,21,4,0,0
C00050,6,Stable Salary Builders,0.6884766751319228,1.096199883217605,2026-06-30,52,Canterbury,104,7483,0.945,0.139,19359,8600,4278,72,0.864,0.041,0.469,0.287,0.059,0.039,0.022,0.072,252920,0.248,5,19,4,0,0
C00051,5,Low Digital Engagement and Cash-Oriented,0.6370174817262468,1.768737910011452,2026-06-30,61,Wellington,107,3890,0.387,0.232,6412,3349,1812,26,0.306,0.381,0.476,0.16,0.029,0.007,0.064,0.053,19627,0.153,23,7,3,0,0
C00052,5,Low Digital Engagement and Cash-Oriented,0.5064026913729931,2.6687399713501447,2026-06-30,57,Wellington,123,3939,0.488,0.29,9219,4030,1728,12,0.309,0.367,0.509,0.227,0.067,0.023,0.118,0.095,0,0.204,58,7,1,1,0
C00053,4,High Spend and Frequent Overdraft,0.5157037228869051,2.1138285156550496,2026-06-30,35,Wellington,71,12350,0.775,0.195,5623,611,12147,111,0.788,0.016,0.399,0.547,0.117,0.011,0.067,0.0,61875,0.516,2,35,5,3,0
C00054,2,Emerging Digital Everyday,0.4933450773268571,2.2509039569997187,2026-06-30,22,Waikato,31,3386,0.825,0.278,4558,1366,2361,67,0.931,0.158,0.412,0.333,0.033,0.074,0.029,0.066,10773,0.225,5,29,4,1,0
C00055,5,Low Digital Engagement and Cash-Oriented,0.5427181186801132,2.3970982861108827,2026-06-30,56,Auckland,138,4021,0.418,0.355,6212,2463,2586,29,0.286,0.46,0.537,0.114,0.019,0.013,0.078,0.041,38455,0.328,24,0,1,0,0
C00056,6,Stable Salary Builders,0.5342323437542543,1.8411000696220459,2026-06-30,41,Waikato,76,5995,0.922,0.087,15393,6840,3412,64,0.858,0.074,0.584,0.144,0.073,0.031,0.005,0.027,0,0.41,4,22,3,0,0
C00057,3,High Spend Credit Active,0.5911900582929103,1.6598290776253708,2026-06-30,43,Other,76,6623,0.635,0.195,17623,1986,5412,86,0.801,0.048,0.344,0.476,0.075,0.013,0.092,0.055,0,0.601,1,23,3,1,0
C00058,1,Affluent Investors,0.537254113146349,1.9607164532742352,2026-06-30,57,Auckland,132,17540,0.67,0.188,82244,50249,3580,52,0.724,0.1,0.514,0.245,0.137,0.06,0.12,0.267,106598,0.323,4,5,5,0,0
C00059,4,High Spend and Frequent Overdraft,0.6808924312247029,1.2268558404268957,2026-06-30,39,Other,82,10465,0.688,0.225,16397,1139,9998,92,0.973,0.05,0.424,0.493,0.131,0.067,0.066,0.02,27749,0.663,1,28,3,3,0
C00060,2,Emerging Digital Everyday,0.5886577084184069,1.6881799035180989,2026-06-30,36,Other,37,2922,0.743,0.175,1818,173,2301,73,0.889,0.007,0.43,0.343,0.051,0.077,0.043,0.042,4895,0.226,3,27,2,0,0
C00061,2,Emerging Digital Everyday,0.6174006053587991,1.5363033448308976,2026-06-30,30,Bay of Plenty,76,2250,0.716,0.229,2272,509,2165,80,1.0,0.019,0.411,0.347,0.049,0.095,0.015,0.001,7953,0.398,5,29,3,0,0
C00062,2,Emerging Digital Everyday,0.6890327477831878,1.1865976217821643,2026-06-30,27,Canterbury,30,3559,0.745,0.229,2586,1184,2961,91,0.934,0.09,0.415,0.415,0.026,0.079,0.061,0.083,3960,0.339,3,22,2,0,0
C00063,1,Affluent Investors,0.6069703910270954,1.5756676420422353,2026-06-30,49,Bay of Plenty,138,16552,0.503,0.211,179415,129368,4108,42,0.695,0.0,0.463,0.328,0.093,0.03,0.133,0.268,0,0.268,4,16,5,0,0
C00064,1,Affluent Investors,0.6039735267896106,1.5912882698273185,2026-06-30,57,Auckland,180,11527,0.65,0.213,83901,40342,6061,42,0.822,0.063,0.54,0.273,0.139,0.004,0.115,0.238,192260,0.332,5,24,6,0,0
C00065,4,High Spend and Frequent Overdraft,0.5129969981623838,2.1306262855640377,2026-06-30,32,Other,88,9123,0.656,0.175,10977,2495,7948,107,0.931,0.0,0.361,0.49,0.102,0.035,0.071,0.0,92038,0.552,2,32,2,4,1
C00066,5,Low Digital Engagement and Cash-Oriented,0.47497801030764814,2.9200090659167235,2026-06-30,60,Bay of Plenty,126,3711,0.356,0.263,7243,2455,1749,32,0.166,0.351,0.537,0.171,0.032,0.018,0.055,0.105,35004,0.0,44,14,1,1,0
C00067,2,Emerging Digital Everyday,0.6512641158221296,1.3661914969092888,2026-06-30,38,Waikato,10,3386,0.578,0.218,2592,1153,2309,86,0.923,0.0,0.447,0.399,0.062,0.061,0.037,0.04,9403,0.339,3,23,2,0,1
C00068,3,High Spend Credit Active,0.5116653475061667,2.1160353993761953,2026-06-30,34,Canterbury,27,7960,0.901,0.202,16522,4302,6216,63,0.967,0.057,0.378,0.472,0.093,0.029,0.078,0.048,0,0.581,4,27,4,1,0
C00069,6,Stable Salary Builders,0.42554348902343936,2.5090967253775185,2026-06-30,44,Other,132,3514,0.683,0.157,13926,6529,2010,43,0.728,0.018,0.528,0.275,0.034,0.061,0.081,0.043,152497,0.142,3,21,2,0,0
C00070,2,Emerging Digital Everyday,0.6130731788607827,1.558711463731951,2026-06-30,23,Auckland,25,3055,0.658,0.181,8087,1530,2295,81,0.966,0.0,0.44,0.329,0.018,0.106,0.032,0.036,5379,0.312,3,26,2,0,0
C00071,3,High Spend Credit Active,0.5324994206704312,1.9900018537082083,2026-06-30,47,Auckland,88,6216,0.864,0.252,8289,2002,5026,89,0.882,0.03,0.381,0.39,0.074,0.032,0.028,0.088,33071,0.487,2,17,4,0,1
C00072,2,Emerging Digital Everyday,0.5181483863758161,2.094632418054402,2026-06-30,27,Wellington,17,3157,0.624,0.216,1927,289,2341,80,0.971,0.105,0.51,0.305,0.058,0.109,0.002,0.069,7286,0.346,6,19,4,0,0
C00073,4,High Spend and Frequent Overdraft,0.5520848621735466,1.8962305962698962,2026-06-30,29,Canterbury,42,6965,0.752,0.163,12858,3210,7090,83,0.739,0.001,0.369,0.468,0.122,0.009,0.134,0.0,110489,0.765,2,31,4,2,0
C00074,6,Stable Salary Builders,0.5639372411533997,1.6821880331704275,2026-06-30,33,Canterbury,71,4828,0.909,0.155,14659,8307,3089,62,0.844,0.155,0.5,0.328,0.049,0.036,0.049,0.072,93427,0.129,2,7,4,0,0
C00075,6,Stable Salary Builders,0.6023543419978402,1.4886497940540826,2026-06-30,39,Auckland,81,4646,0.786,0.15,10573,3348,3260,53,0.837,0.085,0.568,0.217,0.043,0.055,0.054,0.057,0,0.315,2,12,5,0,0
C00076,6,Stable Salary Builders,0.6419226281451004,1.301810237212862,2026-06-30,35,Waikato,89,9803,0.876,0.116,16298,5946,5286,61,0.818,0.09,0.491,0.254,0.049,0.071,0.066,0.067,243240,0.346,4,17,4,0,0
C00077,5,Low Digital Engagement and Cash-Oriented,0.5518435001775678,2.3316982350232918,2026-06-30,51,Auckland,135,4644,0.428,0.252,12307,6958,2413,10,0.281,0.441,0.424,0.277,0.023,0.052,0.049,0.041,41602,0.09,26,0,2,0,0
C00078,4,High Spend and Frequent Overdraft,0.6915332301339248,1.1773576082147466,2026-06-30,34,Waikato,87,7250,0.598,0.208,10309,588,7887,95,0.929,0.087,0.414,0.489,0.117,0.056,0.136,0.04,56105,0.588,1,27,4,2,0
C00079,6,Stable Salary Builders,0.5466143175414659,1.773812167561177,2026-06-30,46,Canterbury,164,6438,0.996,0.048,15762,7785,3842,56,0.89,0.161,0.496,0.299,0.02,0.04,0.071,0.103,123790,0.318,3,22,3,0,0
C00080,5,Low Digital Engagement and Cash-Oriented,0.6122806538068034,1.9240809835503268,2026-06-30,47,Wellington,159,3980,0.535,0.329,21592,8721,1831,12,0.234,0.466,0.503,0.16,0.0,0.047,0.109,0.003,0,0.05,28,1,2,0,0
C00081,3,High Spend Credit Active,0.48669433766939546,2.274037558423887,2026-06-30,37,Bay of Plenty,46,13047,0.84,0.182,9815,2042,9886,93,0.935,0.1,0.38,0.405,0.076,0.045,0.051,0.113,52008,0.707,2,22,3,1,0
C00082,3,High Spend Credit Active,0.6013558887575661,1.6059895025865412,2026-06-30,43,Canterbury,89,8605,0.722,0.207,14992,2205,7036,101,0.944,0.094,0.402,0.389,0.112,0.051,0.039,0.053,39828,0.702,1,29,3,1,0
C00083,4,High Spend and Frequent Overdraft,0.5900725301539602,1.6838218115184254,2026-06-30,32,Canterbury,100,6298,0.545,0.23,11156,4308,6747,96,0.87,0.0,0.448,0.486,0.121,0.036,0.081,0.032,165631,0.87,1,28,4,2,0
C00084,2,Emerging Digital Everyday,0.5868343420778454,1.6980631780763389,2026-06-30,23,Canterbury,31,2536,0.907,0.195,2937,683,2080,90,0.939,0.034,0.346,0.362,0.058,0.136,0.026,0.02,0,0.248,4,22,2,0,0
C00085,2,Emerging Digital Everyday,0.5729139588805577,1.7745443577922924,2026-06-30,29,Wellington,47,2663,0.744,0.305,3839,814,1982,73,0.877,0.034,0.442,0.31,0.057,0.097,0.054,0.085,14706,0.194,2,32,2,0,0
C00086,1,Affluent Investors,0.6931084711459657,1.1568579158921037,2026-06-30,53,Canterbury,183,14671,0.573,0.194,177343,140853,5194,67,0.688,0.013,0.37,0.347,0.137,0.029,0.098,0.291,222838,0.23,4,16,6,0,0
C00087,2,Emerging Digital Everyday,0.5039750549827116,2.1829897729285066,2026-06-30,18,Wellington,1,5985,0.921,0.219,2840,1175,4299,82,0.829,0.05,0.398,0.397,0.05,0.073,0.024,0.0,15421,0.35,3,36,1,0,0
C00088,3,High Spend Credit Active,0.6232864624123309,1.4928770264073352,2026-06-30,29,Bay of Plenty,79,6938,0.613,0.199,5733,812,6297,82,0.917,0.0,0.341,0.416,0.099,0.02,0.094,0.0,261390,0.535,2,30,4,0,0
C00089,1,Affluent Investors,0.5272026495091836,2.020319539435277,2026-06-30,53,Bay of Plenty,161,10049,0.636,0.125,205438,126492,6062,39,0.741,0.071,0.518,0.263,0.115,0.014,0.054,0.279,231593,0.446,7,18,6,0,0
C00090,2,Emerging Digital Everyday,0.47571631907802453,2.366825624096908,2026-06-30,22,Auckland,1,2087,0.872,0.201,4933,1651,1560,67,0.872,0.0,0.493,0.402,0.015,0.065,0.055,0.004,0,0.198,5,27,2,1,0
C00091,5,Low Digital Engagement and Cash-Oriented,0.5057240618303549,2.673999600616201,2026-06-30,50,Auckland,102,4216,0.4,0.353,24154,9842,2116,32,0.205,0.339,0.464,0.184,0.013,0.03,0.122,0.013,28635,0.32,38,15,2,0,1
C00092,3,High Spend Credit Active,0.5435073836101989,1.925387284314709,2026-06-30,45,Wellington,77,10238,0.771,0.203,12160,4051,8422,99,0.827,0.113,0.413,0.47,0.106,0.031,0.06,0.044,18228,0.52,3,33,2,0,0
C00093,3,High Spend Credit Active,0.5089932057258829,2.1325703678741244,2026-06-30,43,Wellington,100,7032,0.581,0.119,13230,2275,7018,96,0.859,0.165,0.495,0.489,0.106,0.029,0.076,0.0,96753,0.671,3,31,5,1,0
C00094,2,Emerging Digital Everyday,0.5281229682102552,2.0338875217044965,2026-06-30,25,Auckland,66,3328,0.835,0.16,1483,296,2113,59,0.992,0.077,0.493,0.401,0.002,0.064,0.056,0.0,6218,0.34,4,32,2,0,0
C00095,1,Affluent Investors,0.6503818157975031,1.3576587008493217,2026-06-30,42,Auckland,144,18123,0.518,0.168,115681,92016,5163,54,0.699,0.0,0.489,0.279,0.129,0.023,0.071,0.303,70199,0.366,6,10,7,0,0
C00096,2,Emerging Digital Everyday,0.5869565037130728,1.697400060719105,2026-06-30,34,Bay of Plenty,20,4638,0.712,0.219,3373,772,4357,79,0.855,0.09,0.405,0.313,0.075,0.063,0.004,0.03,0,0.338,2,24,2,0,0
C00097,6,Stable Salary Builders,0.499351243481419,2.039390483990567,2026-06-30,31,Bay of Plenty,111,4985,0.928,0.047,28775,15496,2567,58,0.81,0.171,0.527,0.335,0.057,0.065,0.095,0.029,378477,0.367,5,25,3,0,0
C00098,1,Affluent Investors,0.5827159242421653,1.7043662960452681,2026-06-30,51,Canterbury,187,18477,0.624,0.201,109690,72683,6114,50,0.687,0.124,0.487,0.339,0.125,0.008,0.163,0.256,0,0.109,3,13,8,0,0
C00099,6,Stable Salary Builders,0.6846829608318337,1.1124268329679499,2026-06-30,40,Other,109,5740,0.796,0.062,18585,10813,3286,65,0.744,0.077,0.548,0.261,0.039,0.048,0.056,0.068,153164,0.263,5,19,4,0,0
C00100,5,Low Digital Engagement and Cash-Oriented,0.5792635341633365,2.1414999524515546,2026-06-30,58,Other,121,3700,0.528,0.309,19877,9823,1569,29,0.261,0.376,0.544,0.196,0.0,0.051,0.115,0.081,0,0.0,22,0,2,0,0
C00101,5,Low Digital Engagement and Cash-Oriented,0.5669585387134323,2.2257143963837764,2026-06-30,59,Canterbury,122,3454,0.458,0.256,10582,5043,1640,16,0.325,0.417,0.519,0.162,0.034,0.031,0.13,0.048,31608,0.065,25,14,1,0,0
C00102,5,Low Digital Engagement and Cash-Oriented,0.5125898791051674,2.6211095060392067,2026-06-30,56,Waikato,137,3724,0.449,0.268,22961,11245,1569,9,0.244,0.42,0.489,0.241,0.003,0.01,0.098,0.069,18807,0.277,29,0,2,0,0
C00103,6,Stable Salary Builders,0.5637480590212628,1.6831733692697903,2026-06-30,37,Auckland,116,4981,0.859,0.133,13539,6443,3348,58,0.666,0.0,0.448,0.34,0.025,0.06,0.088,0.029,118014,0.193,3,12,3,0,0
C00104,2,Emerging Digital Everyday,0.48468220009541746,2.307341594418398,2026-06-30,18,Canterbury,6,4852,0.644,0.179,6046,2066,4350,59,0.992,0.068,0.525,0.355,0.017,0.078,0.102,0.0,2607,0.433,2,24,1,1,0
C00105,1,Affluent Investors,0.4647199041740985,2.4184379889739374,2026-06-30,50,Bay of Plenty,152,13289,0.533,0.048,71171,45271,5270,38,0.865,0.103,0.507,0.298,0.155,0.04,0.125,0.235,198810,0.041,7,9,7,0,0
C00106,2,Emerging Digital Everyday,0.575052010910811,1.7626774919445014,2026-06-30,28,Waikato,71,2906,0.679,0.315,2994,840,2323,55,0.909,0.132,0.389,0.421,0.059,0.073,0.066,0.031,7080,0.434,4,35,2,0,0
C00107,6,Stable Salary Builders,0.37376113087892754,2.8901365603458036,2026-06-30,50,Wellington,86,4034,0.797,0.101,12275,4727,2396,64,0.854,0.063,0.491,0.341,0.074,0.045,0.038,0.118,186760,0.171,3,18,4,2,0
C00108,1,Affluent Investors,0.5838815340053738,1.6980598185039353,2026-06-30,53,Bay of Plenty,133,15022,0.505,0.121,156628,99910,3529,65,0.811,0.0,0.41,0.3,0.104,0.024,0.12,0.306,107798,0.223,6,19,6,0,1
C00109,2,Emerging Digital Everyday,0.6459071643057331,1.3925044223428111,2026-06-30,23,Waikato,17,2385,0.768,0.217,3125,504,1934,62,0.951,0.072,0.443,0.351,0.049,0.082,0.033,0.032,0,0.377,3,23,3,0,0
